theme0,theme1,theme2,theme3,theme4,age,area,geometry
tsa22,0,439,500,439,116,5.545386077973022,"POLYGON ((1450886.1557659402 494180.35112492857, 1450872.2787653063 494162.9421588052, 1450865.6197473581 494146.88018756034, 1450863.657717064 494109.54316520784, 1450859.7567604124 494066.8842013659, 1450854.1557178763 494033.6781950843, 1450850.5287215034 494005.28515968175, 1450846.5497158894 493971.25319318403, 1450843.5067730057 493954.6181225519, 1450840.0117214874 493941.48217721516, 1450821.106735455 493917.4661990054, 1450819.4137475863 493893.8281151701, 1450815.405735871 493878.0311638662, 1450802.6567466422 493820.8291263394, 1450783.864744718 493800.1061043979, 1450764.9517051065 493776.30211573234, 1450756.3007032478 493761.9561341334, 1450734.0807081554 493736.7031107543, 1450707.1267138668 493717.5131162148, 1450692.2646956136 493713.0811675051, 1450676.53172592 493711.60209555365, 1450658.8047540812 493698.1491624382, 1450651.6977175788 493683.4831330614, 1450638.4737324556 493657.85218662914, 1450621.8417434336 493671.5601641778, 1450614.8796822308 493683.42314105126, 1450611.4567079546 493702.88615448464, 1450612.3216969883 493723.90419207193, 1450619.499716362 493757.96209435543, 1450626.8357525035 493782.8531896464, 1450623.3437175371 493806.89410369436, 1450619.7437361097 493823.78115818836, 1450623.959736822 493845.7391144807, 1450631.8467083655 493870.18815358967, 1450629.3387545664 493890.264113622, 1450631.6817394472 493907.3951616336, 1450639.0477491398 493939.9322102214, 1450654.827753054 493968.9571149536, 1450670.7837078169 493996.46215144754, 1450684.2977271555 494003.79115191265, 1450692.132711525 493984.88317831507, 1450691.4817386135 493954.20312304655, 1450686.2417562853 493928.5511260151, 1450677.5737383743 493898.3811038078, 1450672.4457392825 493871.72517052194, 1450675.140725234 493850.15211688366, 1450688.101703218 493833.93010561756, 1450711.0147408769 493833.7601418922, 1450733.636704942 493843.75715304783, 1450749.5207505594 493860.0291984214, 1450753.4937310077 493879.9071350869, 1450751.1887414241 493914.30010424874, 1450750.5487058251 493947.37010104506, 1450750.2617094547 493981.5061072722, 1450752.1377616362 494006.2181169837, 1450757.5807533176 494054.3311650679, 1450769.1427644044 494097.09515533166, 1450782.2747138003 494127.31312956323, 1450792.779726834 494142.87713189, 1450836.224769719 494176.7232114195, 1450856.4567331597 494187.3791525694, 1450875.3767630015 494199.4011734883, 1450886.1557659402 494180.35112492857))"
tsa22,0,439,500,439,176,5.103020875913696,"POLYGON ((1451484.189773355 493633.1580551617, 1451467.086736872 493621.7501278932, 1451448.5127185388 493614.6661057614, 1451430.884744391 493618.50108298234, 1451419.2367769512 493626.0791108877, 1451399.14373414 493637.1661222657, 1451382.891726547 493627.8811122688, 1451398.3657171708 493596.3021073693, 1451406.0637549064 493583.1681106898, 1451417.5117201922 493577.2190738166, 1451441.7077735309 493569.1861109524, 1451462.908770932 493566.8210635329, 1451504.8647638157 493570.06406705966, 1451520.8757431302 493571.1930648373, 1451535.8937308085 493572.06905397336, 1451546.836761489 493570.59407670377, 1451566.575780644 493574.07607318263, 1451578.3647627258 493576.5610530504, 1451592.138792876 493579.28407863196, 1451602.8137302184 493582.63812754274, 1451617.5907682371 493585.4950440159, 1451641.1677532233 493590.4620639421, 1451664.6347329037 493596.4210721721, 1451668.9167569615 493597.81014679524, 1451646.7477783302 493550.21212612116, 1451634.7507890677 493531.9520514564, 1451615.8967883117 493519.4330734859, 1451601.8947991529 493500.919041901, 1451597.9277251994 493479.5931211401, 1451588.6997431256 493467.7750388311, 1451579.1967334878 493445.75011414976, 1451571.7237287208 493419.93109542853, 1451558.3487433963 493408.5950794258, 1451524.8707834373 493398.8181306924, 1451490.7617690745 493389.9771067987, 1451465.5757574493 493387.329068962, 1451439.637770586 493386.6310860916, 1451418.9747388 493380.47305117385, 1451401.3297471737 493378.7780579237, 1451379.8457120059 493395.396139515, 1451376.7107692156 493420.4050572705, 1451388.9607733067 493444.79607861437, 1451406.5017396065 493480.0130936603, 1451406.6867780918 493498.8251542296, 1451399.9037836134 493516.26805952867, 1451383.2727443755 493526.8921309462, 1451362.2427384746 493531.86513817695, 1451335.8447372986 493518.41707897553, 1451310.1517561602 493503.50711113855, 1451281.8247416075 493489.2991116673, 1451259.7807317497 493481.964139096, 1451246.4597116108 493482.3310871158, 1451243.8237568566 493495.20710532257, 1451251.8737291058 493508.40207741316, 1451264.619761419 493520.6710706627, 1451286.055747755 493533.0041007705, 1451306.2017605545 493543.14314858423, 1451308.0147473922 493542.3011451747, 1451311.9867620603 493543.1400900346, 1451323.2927711084 493561.53815560497, 1451336.48971983 493578.43408697343, 1451338.496769928 493590.8730809282, 1451340.8317552211 493613.0131447811, 1451339.3857323762 493624.5141086924, 1451354.3247143612 493639.5931389987, 1451386.3027140547 493657.31514189625, 1451484.189773355 493633.1580551617))"
tsa22,0,439,500,439,206,9.882329444128032,"POLYGON ((1451918.221730737 493081.5910831538, 1451901.5477395183 493082.417006742, 1451891.3587174192 493083.1561046049, 1451876.8367679655 493086.3750975865, 1451861.2037486923 493090.4530885141, 1451842.7007376973 493093.17704194575, 1451820.9797329889 493097.4980371593, 1451799.3787457848 493100.8400672166, 1451779.763742724 493104.4230186785, 1451761.8927675448 493110.24206361885, 1451746.1267610742 493115.3100155986, 1451735.4447702793 493120.0130170729, 1451719.8107657256 493124.09211407404, 1451697.0857372964 493128.3031122055, 1451680.5807260019 493131.26904236403, 1451667.0517608686 493134.60905812174, 1451648.428711053 493138.3140784757, 1451680.1407250888 493169.8501161232, 1451687.3727760445 493193.6120220998, 1451684.1587734 493223.17708705476, 1451676.7677327874 493245.62009903556, 1451668.414790481 493275.56804447505, 1451661.704726994 493304.69206683245, 1451671.0087725064 493328.21503388754, 1451686.5787552746 493342.3481296282, 1451707.438728183 493367.319075089, 1451710.093791382 493386.95011228474, 1451711.1467403406 493407.9330349124, 1451728.953770324 493405.12405587564, 1451743.6047493368 493400.92611314915, 1451759.4907651718 493394.85605514975, 1451772.7837720676 493385.4420919376, 1451779.4797422388 493372.1870919233, 1451782.588792529 493355.4670294257, 1451787.7987988307 493346.05305893905, 1451812.014738606 493329.95507708885, 1451821.199786795 493329.09307157964, 1451837.829774762 493333.18304656964, 1451853.09475135 493340.13510454237, 1451874.6947858965 493352.89706944925, 1451895.29978543 493365.549052922, 1451910.4437845577 493373.4920934565, 1451932.04177909 493386.2660828769, 1451945.2018045199 493393.94508733024, 1451960.5867493965 493399.90705690684, 1451970.0177888598 493405.11109179136, 1451984.3017689 493411.9330743076, 1451991.2907921718 493420.30403333966, 1452006.430735979 493432.2201182399, 1452018.4728038968 493449.8170456778, 1452019.7357865768 493467.1230702597, 1452017.7697751783 493482.88512393023, 1452036.517748124 493486.2270255169, 1452037.3237673854 493475.6591047014, 1452045.6857935973 493466.0460416007, 1452063.8907969266 493471.3760406092, 1452073.6278101625 493479.18802166166, 1452089.8857876044 493499.03712194687, 1452100.5238163334 493454.9250622373, 1452100.0157705077 493441.08108570054, 1452101.1327548092 493426.2320367061, 1452102.8567744046 493412.9851073089, 1452103.0337743675 493396.1510436429, 1452100.132803243 493375.5410956769, 1452088.2578115663 493352.49403919256, 1452080.9697444479 493329.9170376761, 1452076.1687450632 493305.28905487695, 1452070.8457980435 493285.96802976495, 1452060.9897842354 493269.6310393586, 1452038.6927865017 493258.57604638045, 1452018.8587573913 493253.5020612004, 1452001.5577539236 493246.38205419626, 1451990.819799383 493238.7930661875, 1451977.1257455342 493226.2811015037, 1451957.2607724348 493202.4290659667, 1451950.039753256 493190.598013347, 1451927.825733954 493144.6490133725, 1451923.2047523763 493129.6300002505, 1451918.221730737 493081.5910831538))"
tsa22,0,462,204,462,28,2.5997327170703,"POLYGON ((1451745.058787793 493646.76207902195, 1451720.489741006 493625.5600831896, 1451705.0997974577 493611.55312330293, 1451684.9827757934 493602.99610894325, 1451668.9167569615 493597.81014679524, 1451664.6347329037 493596.4210721721, 1451641.1677532233 493590.4620639421, 1451617.5907682371 493585.4950440159, 1451602.8137302184 493582.63812754274, 1451592.138792876 493579.28407863196, 1451578.3647627258 493576.5610530504, 1451566.575780644 493574.07607318263, 1451546.836761489 493570.59407670377, 1451535.8937308085 493572.06905397336, 1451520.8757431302 493571.1930648373, 1451504.8647638157 493570.06406705966, 1451462.908770932 493566.8210635329, 1451441.7077735309 493569.1861109524, 1451417.5117201922 493577.2190738166, 1451406.0637549064 493583.1681106898, 1451398.3657171708 493596.3021073693, 1451382.891726547 493627.8811122688, 1451399.14373414 493637.1661222657, 1451419.2367769512 493626.0791108877, 1451430.884744391 493618.50108298234, 1451448.5127185388 493614.6661057614, 1451467.086736872 493621.7501278932, 1451484.189773355 493633.1580551617, 1451521.502732121 493643.94009757915, 1451542.3597681888 493654.6101475882, 1451551.6597245566 493660.80112594675, 1451572.9567504404 493680.1451568235, 1451594.5057640169 493698.79913379834, 1451632.1037936488 493697.9660562585, 1451669.5868001087 493685.6381263819, 1451692.17775439 493682.4280893925, 1451714.648804205 493664.09506776376, 1451739.722739469 493649.11911830574, 1451745.058787793 493646.76207902195))"
tsa22,0,439,500,439,102,1.0292064594508672,"POLYGON ((1451675.0957269217 492257.69899809465, 1451664.5907386267 492247.30302130966, 1451651.081726016 492240.7500216969, 1451635.4057291606 492230.5789877756, 1451630.7077140897 492223.644014171, 1451618.3857209976 492222.6259725547, 1451601.81872577 492211.163040575, 1451580.5196786781 492199.3620453384, 1451571.735674583 492187.0150247711, 1451565.0537258638 492166.23501752235, 1451549.9657161082 492155.7139775281, 1451527.6477398332 492141.54199051607, 1451490.822714972 492107.8169932741, 1451470.0556790226 492104.4220474193, 1451468.9067280793 492145.29497055185, 1451490.5416783097 492164.938987448, 1451567.4517438137 492216.9800111768, 1451578.0856878662 492230.34796515934, 1451572.6756871855 492248.6389975725, 1451587.337684549 492257.78598227986, 1451598.0167363347 492261.129050719, 1451613.5257119457 492266.1000671355, 1451629.5087531628 492277.6109947553, 1451628.952710545 492287.2359909312, 1451635.8257122184 492294.8070235403, 1451668.2007327073 492301.3709590552, 1451666.732711539 492289.14397197927, 1451665.4257083659 492267.6119615894, 1451675.0957269217 492257.69899809465))"
tsa22,0,439,500,439,176,5.3335970883630965,"POLYGON ((1451497.3246069965 490390.1429034168, 1451480.8506134425 490374.8778692544, 1451466.2746436254 490364.9238884721, 1451447.0536539096 490351.3439118162, 1451430.9866460606 490337.1388498543, 1451418.6076323066 490317.80193777126, 1451411.18166024 490287.4209021244, 1451407.4616630091 490264.1028632125, 1451386.9836606188 490236.1379478329, 1451366.1286489489 490219.2959050844, 1451341.863646742 490216.77391922195, 1451316.3856427106 490235.4359088517, 1451303.8736651726 490249.1018797134, 1451290.9315965436 490266.2708671349, 1451268.2016575085 490291.8769134399, 1451248.4846068453 490317.8589253226, 1451223.6756532402 490336.9028705375, 1451210.3695934329 490488.451961225, 1451234.3776415787 490483.72188970214, 1451254.204618787 490497.88991692616, 1451272.0576116794 490511.29185723147, 1451289.7116441876 490518.0759158604, 1451313.9196725225 490509.4239234724, 1451336.2966404622 490493.93087250786, 1451347.0406495305 490481.56994224037, 1451360.4026034782 490460.39692794415, 1451370.2006685683 490443.3198925046, 1451379.5476396896 490429.75595839904, 1451397.2016538247 490427.39893302193, 1451413.16868022 490446.6598606252, 1451422.3916170178 490470.6849117434, 1451431.7586127818 490489.6349496437, 1451445.4636411718 490502.5178696733, 1451465.434618351 490501.9688947302, 1451480.1306501105 490494.66389581724, 1451485.5826192042 490475.53492321563, 1451482.824621643 490460.9628532593, 1451485.5166394862 490435.4019305849, 1451491.7296175102 490406.2079364878, 1451497.3246069965 490390.1429034168))"
tsa22,0,462,204,462,29,1.6639348136835241,"POLYGON ((1451807.4317436751 492240.04103524913, 1451799.8596973906 492211.90301884915, 1451800.857720687 492203.97596787184, 1451803.7097483696 492197.28099206556, 1451809.7967297079 492197.03700325906, 1451807.5607366748 492182.6609482311, 1451801.148734751 492175.80695930985, 1451782.3647058068 492174.4769779248, 1451761.884743516 492176.95095501246, 1451742.7657037203 492184.6190463509, 1451724.2647282816 492195.39399858244, 1451722.2736842665 492203.19804007234, 1451729.601748485 492225.25896823325, 1451726.9906865798 492229.9600579254, 1451708.6226859938 492239.7429882325, 1451693.518701047 492247.0189769002, 1451675.0957269217 492257.69899809465, 1451665.4257083659 492267.6119615894, 1451666.732711539 492289.14397197927, 1451668.2007327073 492301.3709590552, 1451674.3436893101 492320.0209809998, 1451688.3727488935 492336.8819649686, 1451702.2757237388 492346.67600478436, 1451715.679690398 492352.384045182, 1451735.5447535662 492354.8659862877, 1451756.023754122 492352.393991628, 1451768.5607462963 492348.9320350623, 1451778.613711226 492341.13396390976, 1451781.8497311436 492331.4680276811, 1451776.6347359712 492316.7169713191, 1451773.404739647 492302.21902318095, 1451777.874697675 492290.7020427178, 1451786.20075791 492272.6129621862, 1451793.5287272418 492262.45897689793, 1451807.4317436751 492240.04103524913))"
tsa22,0,440,500,440,116,11.814301472065159,"POLYGON ((1451129.4117780935 494802.70317467465, 1451106.746754725 494780.0511476608, 1451086.3978027627 494771.3982321275, 1451068.9347652413 494764.1342336956, 1451045.9927548338 494751.6162191353, 1451038.7727587458 494735.98413935764, 1451037.1327851985 494712.40813969716, 1451039.5807505494 494696.96913385385, 1451053.6387457647 494678.41015483305, 1451071.2377434124 494660.275167663, 1451077.4458061373 494631.0901507031, 1451081.0747570181 494610.21316965495, 1451092.0007628158 494596.35313134955, 1451105.6417378136 494585.33519484056, 1451116.8747600766 494589.29217635567, 1451136.794741964 494609.56919944444, 1451155.9647598872 494643.9632064656, 1451175.926745734 494663.74216628063, 1451192.144748711 494664.7552193757, 1451203.7568101878 494657.56514699495, 1451210.019793982 494648.19015070354, 1451216.2507523221 494627.1311632116, 1451219.880804532 494606.243177121, 1451216.0447945846 494592.05513558217, 1451205.122813201 494573.4031628779, 1451197.3947386094 494549.59319117706, 1451204.9827554629 494537.8301184384, 1451222.6998119885 494534.9701768237, 1451232.930779776 494538.795176882, 1451240.9117765233 494552.49215841666, 1451241.0298141919 494571.81815645, 1451246.9487769024 494585.7681898079, 1451256.9377468934 494587.51420605014, 1451275.2737588536 494579.65721329744, 1451289.7727803779 494557.5991532215, 1451284.3177779263 494544.21321446315, 1451279.6577873079 494516.1981418482, 1451246.5527519567 494483.10221534385, 1451198.8157715348 494456.7991902988, 1451156.6127970647 494447.4501628445, 1451117.9797740043 494438.04714502604, 1451094.1777682812 494428.45719257684, 1451080.09678293 494410.4532242848, 1451079.3497755118 494396.1331618585, 1451102.9417994563 494305.59715444385, 1451116.539770096 494237.7161674276, 1451119.563766052 494205.57912443654, 1451124.3847466635 494187.38710883004, 1451121.1777916248 494160.06816927326, 1451108.6197834166 494154.4351664344, 1451096.941724578 494166.18315808836, 1451082.175768637 494182.11118499876, 1451055.8007868635 494217.4252118783, 1451023.6697591231 494249.96521142614, 1451018.9157415112 494287.9791574391, 1451012.432771517 494294.7871371634, 1450984.4807663395 494301.9681815147, 1450975.0097806458 494312.46421133133, 1450974.6357728532 494331.7022207425, 1450977.2697433475 494351.3381537749, 1450977.9047625945 494386.99012904573, 1450968.122766821 494440.62813157594, 1450964.2287286802 494479.76321956347, 1450978.2407979956 494498.28518936125, 1450992.0537629405 494514.24116305925, 1451003.7627749485 494526.8731983149, 1451026.0647600256 494544.39822414215, 1451037.0457470003 494550.34714509756, 1451034.6527398666 494561.21819377696, 1451017.7047971024 494578.4111576181, 1450993.7237574488 494610.9631350097, 1450981.2957795204 494649.02415748767, 1450989.595776322 494696.7962228563, 1450969.427744912 494735.4332308855, 1450953.9807657565 494748.74216988374, 1450942.6907891112 494753.4121537223, 1450915.294749861 494756.0912287699, 1450887.2937331584 494759.6841867105, 1450867.954744765 494763.3712120351, 1450853.3917726506 494769.6701961673, 1450846.6767525491 494794.73619685095, 1450835.815757664 494820.3062041502, 1450833.6307891542 494830.094223271, 1450823.4607408266 494967.60526134964, 1450860.6467783102 494951.9452393503, 1450893.2367690904 494924.01115505846, 1450910.1267681012 494907.32717557804, 1450931.8007973433 494897.3471628444, 1450980.2757461327 494889.1891719296, 1451025.311743887 494880.08324034535, 1451060.480763133 494864.1702030311, 1451092.385756091 494853.9441843802, 1451107.8218134914 494836.57622695557, 1451122.2008114012 494819.5702044652, 1451129.4117780935 494802.70317467465))"
tsa22,0,439,500,439,176,7.227876177283889,"POLYGON ((1450823.4607408266 494967.60526134964, 1450833.6307891542 494830.094223271, 1450835.815757664 494820.3062041502, 1450846.6767525491 494794.73619685095, 1450853.3917726506 494769.6701961673, 1450867.954744765 494763.3712120351, 1450887.2937331584 494759.6841867105, 1450915.294749861 494756.0912287699, 1450942.6907891112 494753.4121537223, 1450953.9807657565 494748.74216988374, 1450969.427744912 494735.4332308855, 1450989.595776322 494696.7962228563, 1450981.2957795204 494649.02415748767, 1450993.7237574488 494610.9631350097, 1451017.7047971024 494578.4111576181, 1451034.6527398666 494561.21819377696, 1451037.0457470003 494550.34714509756, 1451026.0647600256 494544.39822414215, 1451003.7627749485 494526.8731983149, 1450992.0537629405 494514.24116305925, 1450978.2407979956 494498.28518936125, 1450964.2287286802 494479.76321956347, 1450968.122766821 494440.62813157594, 1450977.9047625945 494386.99012904573, 1450977.2697433475 494351.3381537749, 1450974.6357728532 494331.7022207425, 1450975.0097806458 494312.46421133133, 1450984.4807663395 494301.9681815147, 1451012.432771517 494294.7871371634, 1451018.9157415112 494287.9791574391, 1451023.6697591231 494249.96521142614, 1451012.435754097 494241.95716538373, 1450984.9807339413 494241.0701985158, 1450957.9337670428 494224.98615371325, 1450931.3307580384 494208.9531890124, 1450902.0587726936 494190.04812905006, 1450886.1557659402 494180.35112492857, 1450833.8687428085 494775.7222078273, 1450832.513731249 494791.1442485676, 1450817.0098020753 494967.71624180797, 1450823.4607408266 494967.60526134964))"
tsa22,0,462,204,462,25,2.683163661314993,"POLYGON ((1452007.3897292917 492836.76004259073, 1452003.4927267812 492816.30499954557, 1452013.1567496513 492799.61607282574, 1452019.0867589326 492786.06799597514, 1452005.6027723786 492767.2310593297, 1451996.5377427102 492767.1109779173, 1451983.3047182916 492780.0040597939, 1451957.4407723162 492781.34501110454, 1451930.9447730933 492761.2180461767, 1451927.6927733603 492767.52008771914, 1451915.8357688962 492793.41101321887, 1451908.5587815745 492825.56002770754, 1451886.0117557545 492842.55203933915, 1451866.3677523504 492856.8510050849, 1451837.8407344026 492880.73004920967, 1451816.3627703171 492901.41308303084, 1451789.736764576 492922.4650010047, 1451785.497764879 492960.5230113097, 1451819.4067666742 492974.93510184955, 1451845.3167369026 492972.3070345724, 1451860.4667175924 492967.140094469, 1451896.4707768424 492967.01299734117, 1451933.063714535 492961.0620939351, 1451959.3347538742 492949.77301540214, 1451979.811738412 492908.6470442631, 1451993.776736485 492886.03603436466, 1452001.477729972 492849.70705342013, 1452007.3897292917 492836.76004259073))"
