AU,Yieldscode,THLB,LDSPP,SPCode,Wdks,X0,X10,X20,X30,X40,X50,X60,X70,X80,X90,X100,X110,X120,X130,X140,X150,X160,X170,X180,X190,X200,X210,X220,X230,X240,X250,X260,X270,X280,X290,X300,X310,X320,X330,X340,X350,canfi_species,curve_id
439,*Y,?,Douglas-fir,DFVOL,1,0.0,0.0,0.0,0.0,0.8,4.8,13.6,25.1,38.6,53.7,69.6,85.9,102.1,117.7,132.1,144.7,154.5,161.3,166.0,169.3,171.7,173.4,173.8,174.3,174.8,175.2,175.7,176.0,176.4,176.7,177.1,177.4,177.6,177.6,177.5,177.5,500,439
462,*Y,?,Lodgepole pine,LPVOL,1,0.0,0.0,0.0,2.3,14.0,41.2,78.9,120.4,160.7,197.7,231.0,260.9,287.5,309.9,328.1,341.7,351.1,356.9,360.8,363.5,365.5,366.9,367.0,367.2,367.2,367.3,367.3,367.3,367.2,367.1,367.0,366.9,366.9,366.9,366.8,366.8,204,462
440,*Y,?,Douglas-fir,DFVOL,1,0.0,0.0,0.0,1.0,8.8,27.1,51.9,82.4,115.8,150.0,183.5,215.9,246.9,275.3,300.4,321.3,336.8,346.7,353.3,358.1,361.7,364.1,364.7,365.5,366.2,366.8,367.4,368.0,368.5,368.9,369.4,369.8,370.0,370.0,370.0,370.0,500,440
471,*Y,?,Spruce,SPVOL,1,0.0,0.0,0.0,0.0,1.1,8.9,35.5,75.8,125.1,176.4,224.9,269.5,310.1,346.1,377.1,402.9,421.7,432.7,438.2,440.7,441.1,440.2,436.4,433.1,429.9,426.8,424.0,421.3,418.7,416.2,413.8,411.5,409.4,408.5,408.5,408.5,100,471
461,*Y,?,Lodgepole pine,LPVOL,1,0.0,0.0,0.0,0.1,1.1,6.1,17.6,34.4,54.1,75.1,96.2,116.5,135.6,153.0,168.0,180.3,189.2,195.5,199.9,203.1,205.5,207.7,208.4,209.1,209.8,210.4,211.0,211.5,211.9,212.3,212.6,213.0,213.2,213.2,213.2,213.2,204,461
436,*Y,?,Paper birch,PBVOL,1,0.1,0.2,0.6,8.2,31.6,66.9,105.5,142.5,174.3,201.4,224.5,244.4,260.9,273.4,281.6,285.4,285.5,282.6,278.8,274.9,271.3,267.6,263.8,260.5,257.5,254.9,252.6,250.6,248.8,247.2,245.9,245.0,244.7,244.7,244.7,244.7,1308,436
467,*Y,?,Ponderosa pine,PPVOL,1,0.0,0.0,0.0,0.0,0.1,0.8,3.4,8.7,16.9,27.2,39.1,52.2,66.2,80.4,94.3,107.2,117.4,124.6,129.5,132.8,134.9,136.4,136.6,136.9,137.3,137.6,137.9,138.2,138.4,138.6,138.9,139.1,139.3,139.3,139.3,139.3,208,467
459,*Y,?,Whitebark pine,WPVOL,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,8.2,15.1,22.9,31.1,39.2,47.0,59.7,69.1,77.0,83.1,87.6,91.0,93.6,95.7,96.2,96.7,97.2,97.8,98.2,98.7,99.1,99.5,100.0,100.4,100.7,100.8,100.8,100.8,206,459
